trial,trial_type,site,date,time,chick,nest,tarsus,mass,age,sex,setup,maze_area,donour_id,donour_sex,odour_type,odour_date,odour_trial_diffdate,odours_diffdate,odour_used,scoring_order,trial_success,out_time,delay,first_side,duration
34B,B,Lamboara West Beach,19/05/2022,12,FJ02553,-320,19.22,5.56,3,NA,2,right,FJ02548,NA,np,16/05/2022,3,3,3,63,1,27.818,42.915,0,298.612
34B,B,Lamboara West Beach,19/05/2022,12,FJ02553,-320,19.22,5.56,3,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,63,1,27.818,NA,NA,194.359
34B,B,Lamboara West Beach,19/05/2022,12,FJ02553,-320,19.22,5.56,3,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,63,1,27.818,NA,NA,187.899
35A,A,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,left,NA,NA,c,NA,NA,NA,NA,31,1,4.938,26.245,0,51.667
35A,A,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,right,FJ02548,NA,np,16/05/2022,3,NA,4,31,1,4.938,7.309,1,303.04
35A,A,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,31,1,4.938,NA,NA,85.403
35A,A,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,31,1,4.938,NA,NA,459.89
35B,B,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,left,FJ02543,NA,np,11/05/2022,8,8,4,36,1,425.922,666.797,0,9.78
35B,B,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,right,FJ02552,NA,p,19/05/2022,0,8,2,36,1,425.922,539.476,1,106.148
35B,B,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,36,1,425.922,NA,NA,86.309
35B,B,Lamboara West Beach,19/05/2022,13,FJ02554,-320,18.95,5.00,3,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,36,1,425.922,NA,NA,697.763
36A,A,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,left,NA,NA,c,NA,NA,NA,NA,8,1,25.92,27.154,1,111.931
36A,A,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,right,FJ02548,NA,np,16/05/2022,3,NA,5,8,1,25.92,86.019,0,319.608
36A,A,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,8,1,25.92,NA,NA,161.517
36A,A,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,8,1,25.92,NA,NA,306.944
36B,B,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,left,FJ02555,NA,p,19/05/2022,0,0,1,6,1,0.095,0.475,1,115.568
36B,B,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,right,FJ02552,NA,np,19/05/2022,0,0,3,6,1,0.095,2.468,0,414.727
36B,B,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,6,1,0.095,NA,NA,353.661
36B,B,Lamboara West Beach,19/05/2022,16,FJ02557,-321,19.08,5.45,3,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,6,1,0.095,NA,NA,16.044
37A,A,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,left,NA,NA,c,NA,NA,NA,NA,41,1,5.504,6.644,1,103.541
37A,A,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,right,FJ02552,NA,np,19/05/2022,0,NA,4,41,1,5.504,15.189,0,79.849
37A,A,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,41,1,5.504,NA,NA,75.756
37A,A,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,41,1,5.504,NA,NA,640.854
37B,B,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,left,FJ02548,NA,np,16/05/2022,3,3,6,23,1,42.82,222.932,0,51.652
37B,B,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,right,FJ02556,NA,p,19/05/2022,0,3,1,23,1,42.82,43.485,1,158.292
37B,B,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,23,1,42.82,NA,NA,259.687
37B,B,Lamboara West Beach,19/05/2022,17,FJ02558,-321,19.33,5.61,4,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,23,1,42.82,NA,NA,430.369
38A,A,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,left,FJ02555,NA,np,19/05/2022,4,NA,2,14,0,NA,NA,NA,0
38A,A,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,right,NA,NA,c,NA,NA,NA,NA,14,0,NA,NA,NA,0
38A,A,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0
38A,A,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,900
38B,B,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,left,FJ02560,NA,p,23/05/2022,0,4,1,25,0,NA,NA,NA,0
38B,B,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,right,FJ02556,NA,np,19/05/2022,4,4,2,25,0,NA,NA,NA,0
38B,B,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA,NA,0
38B,B,West Mamelo / South Ampisirona,23/05/2022,12,FJ02561,-322,24.15,15.48,17,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA,NA,900
39A,A,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,left,NA,NA,c,NA,NA,NA,NA,9,1,2.564,3.419,1,66.043
39A,A,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,right,FJ02560,NA,np,23/05/2022,1,NA,2,9,1,2.564,13.292,0,183.158
39A,A,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,9,1,2.564,NA,NA,186.444
39A,A,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,9,1,2.564,NA,NA,464.355
39B,B,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,left,FJ02556,NA,np,19/05/2022,5,5,3,39,1,15.455,17.924,1,8.07
39B,B,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,right,FJ02007,NA,p,24/05/2022,0,5,1,39,1,15.455,26.467,0,26.206
39B,B,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,39,1,15.455,NA,NA,421.289
39B,B,Lamboara West Beach,24/05/2022,11,FJ02562,208,19.01,4.71,3,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,39,1,15.455,NA,NA,444.435
40A,A,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,left,NA,NA,c,NA,NA,NA,NA,48,1,2.185,17.091,0,85.67
40A,A,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,right,FJ02556,NA,np,19/05/2022,5,NA,4,48,1,2.185,2.66,1,225.182
40A,A,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,48,1,2.185,NA,NA,188.488
40A,A,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,48,1,2.185,NA,NA,400.66
40B,B,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,left,FJ02306,NA,p,24/05/2022,0,1,1,32,1,5.888,6.08,1,76.761
40B,B,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,right,FJ02560,NA,np,23/05/2022,1,1,3,32,1,5.888,20.743,0,312.248
40B,B,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,32,1,5.888,NA,NA,287.585
40B,B,Lamboara West Beach,24/05/2022,12,FJ02563,208,18.28,4.66,1,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,32,1,5.888,NA,NA,223.406
41A,A,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,left,FJ02007,NA,np,24/05/2022,2,NA,2,40,1,1.045,22.883,0,110.894
41A,A,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,right,NA,NA,c,NA,NA,NA,NA,40,1,1.045,2.85,1,228.271
41A,A,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,40,1,1.045,NA,NA,361.536
41A,A,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,40,1,1.045,NA,NA,199.299
41B,B,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,left,FJ02306,NA,np,24/05/2022,2,2,2,46,1,0.096,3.039,1,28.579
41B,B,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,right,FJ02101,NA,p,26/05/2022,0,2,1,46,1,0.096,14.147,0,73.775
41B,B,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,46,1,0.096,NA,NA,720.268
41B,B,East Mamelo,26/05/2022,11,FJ02566,57,18.45,4.79,1,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,46,1,0.096,NA,NA,77.378
42A,A,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,left,FJ02306,NA,np,24/05/2022,2,NA,3,2,1,307.24,307.621,1,56.305
42A,A,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,right,NA,NA,c,NA,NA,NA,NA,2,1,307.24,327.695,0,36.267
42A,A,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,2,1,307.24,NA,NA,474.268
42A,A,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,2,1,307.24,NA,NA,333.16
42B,B,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,left,FJ02007,NA,np,24/05/2022,2,2,3,52,1,80.132,84.5,1,72.059
42B,B,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,right,FJ0567,NA,p,26/05/2022,0,2,1,52,1,80.132,136.434,0,156.56
42B,B,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,52,1,80.132,NA,NA,373.617
42B,B,West Mamelo / South Ampisirona,26/05/2022,16,FJ02568,311,19.32,6.06,4,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,52,1,80.132,NA,NA,297.764
43A,A,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,left,NA,NA,c,NA,NA,NA,NA,74,1,4.85,26.681,0,86.592
43A,A,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,right,FJ02101,NA,np,26/05/2022,1,NA,2,74,1,4.85,5.603,1,116.373
43A,A,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,74,1,4.85,NA,NA,334.585
43A,A,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,74,1,4.85,NA,NA,362.45
43B,B,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,left,FJ02567,NA,np,26/05/2022,1,1,2,13,1,3.987,178.874,0,125.16
43B,B,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,right,FJ02559,NA,p,27/05/2022,0,1,1,13,1,3.987,14.431,1,103.583
43B,B,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,13,1,3.987,NA,NA,512.889
43B,B,Ampengoky,27/05/2022,16,FJ02101,304,18.82,4.67,2,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,13,1,3.987,NA,NA,158.368
44A,A,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,left,NA,NA,c,NA,NA,NA,NA,37,1,0.095,556.852,1,86.304
44A,A,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,right,FH96997,NA,np,26/05/2022,4,NA,1,37,1,0.095,631.288,0,37.694
44A,A,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,37,1,0.095,NA,NA,567.201
44A,A,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,37,1,0.095,NA,NA,208.801
44B,B,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,left,FH97077,NA,p,30/05/2022,0,3,1,38,1,4.082,89.247,0,13.009
44B,B,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,right,FJ02559,NA,np,27/05/2022,3,3,2,38,1,4.082,26.203,1,76.142
44B,B,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,38,1,4.082,NA,NA,154.667
44B,B,Pandaroa,30/05/2022,12,FJ02570,-323,19.61,6.42,4,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,38,1,4.082,NA,NA,656.182
45A,A,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,left,FJ02567,NA,np,26/05/2022,4,NA,3,7,1,0.096,3.133,1,306.956
45A,A,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,right,NA,NA,c,NA,NA,NA,NA,7,1,0.096,60.861,0,235.941
45A,A,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,7,1,0.096,NA,NA,198.732
45A,A,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,7,1,0.096,NA,NA,158.371
45B,B,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,left,FH96997,NA,np,26/05/2022,4,4,2,64,1,0.284,0.664,1,156.47
45B,B,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,right,FH97077,NA,p,30/05/2022,0,4,2,64,1,0.284,17.184,0,262.248
45B,B,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,64,1,0.284,NA,NA,342.844
45B,B,Pandaroa,30/05/2022,13,FJ02571,-323,18.56,5.62,2,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,64,1,0.284,NA,NA,138.438
46A,A,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,left,FJ02559,NA,np,27/05/2022,4,NA,3,4,1,1.52,53.359,0,179.264
46A,A,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,right,NA,NA,c,NA,NA,NA,NA,4,1,1.52,13.198,1,110.976
46A,A,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,4,1,1.52,NA,NA,160.96
46A,A,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,4,1,1.52,NA,NA,448.8
46B,B,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,left,FJ02572,NA,p,31/05/2022,0,1,1,5,1,15.477,76.145,1,72.153
46B,B,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,right,FH97077,NA,np,30/05/2022,1,1,3,5,1,15.477,101.497,0,94.915
46B,B,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,5,1,15.477,NA,NA,173.753
46B,B,Lamboara South-East beach,31/05/2022,12,FJ02573,303,18.80,5.11,2,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,5,1,15.477,NA,NA,559.179
